X,Y,Accuracy,Player,Period
2,3,0%,Salmon,1 point
3,3,0%,Salmon,1 point
4,3,0%,Salmon,1 point
5,3,100%,Salmon,1 point
6,3,0%,Salmon,1 point
7,3,0%,Salmon,1 point
8,3,0%,Salmon,1 point
1,4,0%,Salmon,1 point
2,4,0%,Salmon,1 point
3,4,0%,Salmon,1 point
4,4,0%,Salmon,1 point
5,4,0%,Salmon,1 point
6,4,0%,Salmon,1 point
7,4,0%,Salmon,1 point
8,4,0%,Salmon,1 point
1,5,0%,Salmon,1 point
2,5,0%,Salmon,1 point
3,5,0%,Salmon,1 point
4,5,0%,Salmon,1 point
5,5,0%,Salmon,1 point
6,5,0%,Salmon,1 point
7,5,0%,Salmon,1 point
8,5,0%,Salmon,1 point
1,1,0%,Schwalger,1 point
2,1,0%,Schwalger,1 point
3,1,0%,Schwalger,1 point
4,1,100%,Schwalger,1 point
5,1,0%,Schwalger,1 point
6,1,0%,Schwalger,1 point
7,1,100%,Schwalger,1 point
8,1,100%,Schwalger,1 point
1,2,0%,Schwalger,1 point
2,2,0%,Schwalger,1 point
3,2,100%,Schwalger,1 point
4,2,0%,Schwalger,1 point
5,2,0%,Schwalger,1 point
6,2,100%,Schwalger,1 point
7,2,0%,Schwalger,1 point
8,2,0%,Schwalger,1 point
1,3,0%,Schwalger,1 point
2,3,100%,Schwalger,1 point
3,3,0%,Schwalger,1 point
4,3,0%,Schwalger,1 point
5,3,0%,Schwalger,1 point
6,3,0%,Schwalger,1 point
7,3,0%,Schwalger,1 point
8,3,0%,Schwalger,1 point
1,4,0%,Schwalger,1 point
2,4,0%,Schwalger,1 point
3,4,0%,Schwalger,1 point
4,4,0%,Schwalger,1 point
5,4,0%,Schwalger,1 point
6,4,100%,Schwalger,1 point
7,4,0%,Schwalger,1 point
8,4,0%,Schwalger,1 point
1,5,0%,Schwalger,1 point
2,5,0%,Schwalger,1 point
3,5,0%,Schwalger,1 point
4,5,0%,Schwalger,1 point
5,5,0%,Schwalger,1 point
6,5,0%,Schwalger,1 point
7,5,0%,Schwalger,1 point
8,5,0%,Schwalger,1 point
1,1,0%,Selby-Rickett,1 point
2,1,100%,Selby-Rickett,1 point
3,1,0%,Selby-Rickett,1 point
4,1,0%,Selby-Rickett,1 point
5,1,0%,Selby-Rickett,1 point
6,1,0%,Selby-Rickett,1 point
7,1,100%,Selby-Rickett,1 point
8,1,100%,Selby-Rickett,1 point
1,2,0%,Selby-Rickett,1 point
2,2,0%,Selby-Rickett,1 point
3,2,0%,Selby-Rickett,1 point
4,2,0%,Selby-Rickett,1 point
5,2,100%,Selby-Rickett,1 point
6,2,0%,Selby-Rickett,1 point
7,2,0%,Selby-Rickett,1 point
8,2,100%,Selby-Rickett,1 point
1,3,100%,Selby-Rickett,1 point
2,3,0%,Selby-Rickett,1 point
3,3,0%,Selby-Rickett,1 point
4,3,100%,Selby-Rickett,1 point
5,3,0%,Selby-Rickett,1 point
6,3,50%,Selby-Rickett,1 point
7,3,100%,Selby-Rickett,1 point
8,3,100%,Selby-Rickett,1 point
1,4,0%,Selby-Rickett,1 point
2,4,0%,Selby-Rickett,1 point
3,4,0%,Selby-Rickett,1 point
4,4,0%,Selby-Rickett,1 point
5,4,0%,Selby-Rickett,1 point
6,4,100%,Selby-Rickett,1 point
7,4,0%,Selby-Rickett,1 point
8,4,100%,Selby-Rickett,1 point
1,5,0%,Selby-Rickett,1 point
2,5,0%,Selby-Rickett,1 point
3,5,0%,Selby-Rickett,1 point
4,5,0%,Selby-Rickett,1 point
5,5,0%,Selby-Rickett,1 point
6,5,0%,Selby-Rickett,1 point
7,5,0%,Selby-Rickett,1 point
8,5,0%,Selby-Rickett,1 point
1,1,0%,Southby,1 point
2,1,0%,Southby,1 point
3,1,0%,Southby,1 point
4,1,0%,Southby,1 point
5,1,0%,Southby,1 point
6,1,0%,Southby,1 point
7,1,100%,Southby,1 point
8,1,0%,Southby,1 point
1,2,0%,Southby,1 point
2,2,0%,Southby,1 point
3,2,0%,Southby,1 point
4,2,0%,Southby,1 point
5,2,0%,Southby,1 point
6,2,0%,Southby,1 point
7,2,0%,Southby,1 point
8,2,0%,Southby,1 point
1,3,0%,Southby,1 point
2,3,100%,Southby,1 point
3,3,0%,Southby,1 point
4,3,100%,Southby,1 point
5,3,0%,Southby,1 point
6,3,0%,Southby,1 point
7,3,0%,Southby,1 point
8,3,0%,Southby,1 point
1,4,0%,Southby,1 point
2,4,0%,Southby,1 point
3,4,0%,Southby,1 point
4,4,0%,Southby,1 point
5,4,0%,Southby,1 point
6,4,50%,Southby,1 point
7,4,0%,Southby,1 point
8,4,0%,Southby,1 point
1,5,0%,Southby,1 point
2,5,0%,Southby,1 point
3,5,0%,Southby,1 point
4,5,0%,Southby,1 point
5,5,0%,Southby,1 point
6,5,0%,Southby,1 point
7,5,0%,Southby,1 point
8,5,0%,Southby,1 point
1,1,100%,Taylor,1 point
2,1,50%,Taylor,1 point
3,1,0%,Taylor,1 point
4,1,0%,Taylor,1 point
5,1,100%,Taylor,1 point
6,1,100%,Taylor,1 point
7,1,0%,Taylor,1 point
8,1,100%,Taylor,1 point
1,2,0%,Taylor,1 point
2,2,100%,Taylor,1 point
3,2,0%,Taylor,1 point
4,2,0%,Taylor,1 point
5,2,0%,Taylor,1 point
6,2,0%,Taylor,1 point
7,2,0%,Taylor,1 point
8,2,0%,Taylor,1 point
1,3,0%,Taylor,1 point
2,3,0%,Taylor,1 point
3,3,0%,Taylor,1 point
4,3,0%,Taylor,1 point
5,3,0%,Taylor,1 point
6,3,0%,Taylor,1 point
7,3,0%,Taylor,1 point
8,3,0%,Taylor,1 point
1,4,0%,Taylor,1 point
2,4,0%,Taylor,1 point
3,4,0%,Taylor,1 point
4,4,0%,Taylor,1 point
5,4,0%,Taylor,1 point
6,4,0%,Taylor,1 point
7,4,0%,Taylor,1 point
8,4,0%,Taylor,1 point
1,5,0%,Taylor,1 point
2,5,0%,Taylor,1 point
3,5,0%,Taylor,1 point
4,5,0%,Taylor,1 point
5,5,0%,Taylor,1 point
6,5,0%,Taylor,1 point
7,5,0%,Taylor,1 point
8,5,0%,Taylor,1 point
1,1,50%,Temu,1 point
2,1,0%,Temu,1 point
3,1,100%,Temu,1 point
4,1,0%,Temu,1 point
5,1,100%,Temu,1 point
6,1,100%,Temu,1 point
7,1,0%,Temu,1 point
8,1,86%,Temu,1 point
1,2,0%,Temu,1 point
2,2,0%,Temu,1 point
3,2,0%,Temu,1 point
4,2,100%,Temu,1 point
5,2,0%,Temu,1 point
6,2,0%,Temu,1 point
7,2,0%,Temu,1 point
8,2,0%,Temu,1 point
1,3,0%,Temu,1 point
2,3,0%,Temu,1 point
3,3,0%,Temu,1 point
4,3,0%,Temu,1 point
5,3,0%,Temu,1 point
6,3,0%,Temu,1 point
7,3,0%,Temu,1 point
8,3,0%,Temu,1 point
1,4,0%,Temu,1 point
2,4,0%,Temu,1 point
3,4,0%,Temu,1 point
4,4,0%,Temu,1 point
5,4,0%,Temu,1 point
6,4,0%,Temu,1 point
7,4,100%,Temu,1 point
8,4,0%,Temu,1 point
1,5,0%,Temu,1 point
2,5,0%,Temu,1 point
3,5,0%,Temu,1 point
4,5,0%,Temu,1 point
5,5,0%,Temu,1 point
6,5,0%,Temu,1 point
7,5,0%,Temu,1 point
8,5,0%,Temu,1 point
1,1,0%,Toeava,1 point
2,1,0%,Toeava,1 point
3,1,0%,Toeava,1 point
4,1,0%,Toeava,1 point
5,1,0%,Toeava,1 point
6,1,0%,Toeava,1 point
7,1,0%,Toeava,1 point
8,1,0%,Toeava,1 point
1,2,0%,Toeava,1 point
2,2,0%,Toeava,1 point
3,2,0%,Toeava,1 point
4,2,0%,Toeava,1 point
5,2,0%,Toeava,1 point
6,2,0%,Toeava,1 point
7,2,0%,Toeava,1 point
8,2,0%,Toeava,1 point
1,3,0%,Toeava,1 point
2,3,0%,Toeava,1 point
3,3,0%,Toeava,1 point
4,3,0%,Toeava,1 point
5,3,0%,Toeava,1 point
6,3,0%,Toeava,1 point
7,3,0%,Toeava,1 point
8,3,0%,Toeava,1 point
1,4,0%,Toeava,1 point
