X,Y,Accuracy,Player,Period
7,2,100%,Ekenasio,1 point
8,2,100%,Ekenasio,1 point
1,3,0%,Ekenasio,1 point
2,3,100%,Ekenasio,1 point
3,3,0%,Ekenasio,1 point
4,3,0%,Ekenasio,1 point
5,3,50%,Ekenasio,1 point
6,3,0%,Ekenasio,1 point
7,3,0%,Ekenasio,1 point
8,3,0%,Ekenasio,1 point
1,4,0%,Ekenasio,1 point
2,4,0%,Ekenasio,1 point
3,4,100%,Ekenasio,1 point
4,4,0%,Ekenasio,1 point
5,4,0%,Ekenasio,1 point
6,4,0%,Ekenasio,1 point
7,4,0%,Ekenasio,1 point
8,4,0%,Ekenasio,1 point
1,5,0%,Ekenasio,1 point
2,5,0%,Ekenasio,1 point
3,5,0%,Ekenasio,1 point
4,5,0%,Ekenasio,1 point
5,5,0%,Ekenasio,1 point
6,5,0%,Ekenasio,1 point
7,5,0%,Ekenasio,1 point
8,5,0%,Ekenasio,1 point
1,1,0%,Heffernan,1 point
2,1,0%,Heffernan,1 point
3,1,0%,Heffernan,1 point
4,1,0%,Heffernan,1 point
5,1,100%,Heffernan,1 point
6,1,0%,Heffernan,1 point
7,1,0%,Heffernan,1 point
8,1,0%,Heffernan,1 point
1,2,0%,Heffernan,1 point
2,2,100%,Heffernan,1 point
3,2,0%,Heffernan,1 point
4,2,0%,Heffernan,1 point
5,2,0%,Heffernan,1 point
6,2,0%,Heffernan,1 point
7,2,0%,Heffernan,1 point
8,2,0%,Heffernan,1 point
1,3,0%,Heffernan,1 point
2,3,0%,Heffernan,1 point
3,3,0%,Heffernan,1 point
4,3,0%,Heffernan,1 point
5,3,0%,Heffernan,1 point
6,3,0%,Heffernan,1 point
7,3,0%,Heffernan,1 point
8,3,0%,Heffernan,1 point
1,4,0%,Heffernan,1 point
2,4,0%,Heffernan,1 point
3,4,0%,Heffernan,1 point
4,4,0%,Heffernan,1 point
5,4,0%,Heffernan,1 point
6,4,0%,Heffernan,1 point
7,4,0%,Heffernan,1 point
8,4,0%,Heffernan,1 point
1,5,0%,Heffernan,1 point
2,5,0%,Heffernan,1 point
3,5,0%,Heffernan,1 point
4,5,0%,Heffernan,1 point
5,5,0%,Heffernan,1 point
6,5,0%,Heffernan,1 point
7,5,0%,Heffernan,1 point
8,5,0%,Heffernan,1 point
1,1,100%,Lafi'ili,1 point
2,1,100%,Lafi'ili,1 point
3,1,0%,Lafi'ili,1 point
4,1,0%,Lafi'ili,1 point
5,1,0%,Lafi'ili,1 point
6,1,100%,Lafi'ili,1 point
7,1,100%,Lafi'ili,1 point
8,1,0%,Lafi'ili,1 point
1,2,100%,Lafi'ili,1 point
2,2,100%,Lafi'ili,1 point
3,2,100%,Lafi'ili,1 point
4,2,0%,Lafi'ili,1 point
5,2,0%,Lafi'ili,1 point
6,2,0%,Lafi'ili,1 point
7,2,0%,Lafi'ili,1 point
8,2,0%,Lafi'ili,1 point
1,3,0%,Lafi'ili,1 point
2,3,0%,Lafi'ili,1 point
3,3,0%,Lafi'ili,1 point
4,3,0%,Lafi'ili,1 point
5,3,100%,Lafi'ili,1 point
6,3,0%,Lafi'ili,1 point
7,3,0%,Lafi'ili,1 point
8,3,0%,Lafi'ili,1 point
1,4,0%,Lafi'ili,1 point
2,4,0%,Lafi'ili,1 point
3,4,0%,Lafi'ili,1 point
4,4,0%,Lafi'ili,1 point
5,4,0%,Lafi'ili,1 point
6,4,0%,Lafi'ili,1 point
7,4,0%,Lafi'ili,1 point
8,4,100%,Lafi'ili,1 point
1,5,0%,Lafi'ili,1 point
2,5,0%,Lafi'ili,1 point
3,5,0%,Lafi'ili,1 point
4,5,0%,Lafi'ili,1 point
5,5,0%,Lafi'ili,1 point
6,5,0%,Lafi'ili,1 point
7,5,0%,Lafi'ili,1 point
8,5,0%,Lafi'ili,1 point
1,1,0%,Malesala,1 point
2,1,0%,Malesala,1 point
3,1,0%,Malesala,1 point
4,1,0%,Malesala,1 point
5,1,0%,Malesala,1 point
6,1,0%,Malesala,1 point
7,1,0%,Malesala,1 point
8,1,0%,Malesala,1 point
1,2,0%,Malesala,1 point
2,2,0%,Malesala,1 point
3,2,0%,Malesala,1 point
4,2,0%,Malesala,1 point
5,2,0%,Malesala,1 point
6,2,0%,Malesala,1 point
7,2,0%,Malesala,1 point
8,2,0%,Malesala,1 point
1,3,0%,Malesala,1 point
2,3,0%,Malesala,1 point
3,3,0%,Malesala,1 point
4,3,0%,Malesala,1 point
5,3,0%,Malesala,1 point
6,3,0%,Malesala,1 point
7,3,0%,Malesala,1 point
8,3,0%,Malesala,1 point
1,4,0%,Malesala,1 point
2,4,0%,Malesala,1 point
3,4,0%,Malesala,1 point
4,4,0%,Malesala,1 point
5,4,0%,Malesala,1 point
6,4,0%,Malesala,1 point
7,4,0%,Malesala,1 point
8,4,0%,Malesala,1 point
1,5,0%,Malesala,1 point
2,5,0%,Malesala,1 point
3,5,0%,Malesala,1 point
4,5,0%,Malesala,1 point
5,5,0%,Malesala,1 point
6,5,0%,Malesala,1 point
7,5,0%,Malesala,1 point
8,5,0%,Malesala,1 point
1,1,0%,Pelasio,1 point
2,1,0%,Pelasio,1 point
3,1,0%,Pelasio,1 point
4,1,0%,Pelasio,1 point
5,1,0%,Pelasio,1 point
6,1,0%,Pelasio,1 point
7,1,0%,Pelasio,1 point
8,1,0%,Pelasio,1 point
1,2,0%,Pelasio,1 point
2,2,100%,Pelasio,1 point
3,2,0%,Pelasio,1 point
4,2,0%,Pelasio,1 point
5,2,0%,Pelasio,1 point
6,2,0%,Pelasio,1 point
7,2,100%,Pelasio,1 point
8,2,0%,Pelasio,1 point
1,3,0%,Pelasio,1 point
2,3,0%,Pelasio,1 point
3,3,100%,Pelasio,1 point
4,3,100%,Pelasio,1 point
5,3,0%,Pelasio,1 point
6,3,0%,Pelasio,1 point
7,3,0%,Pelasio,1 point
8,3,0%,Pelasio,1 point
1,4,0%,Pelasio,1 point
2,4,0%,Pelasio,1 point
3,4,100%,Pelasio,1 point
4,4,40%,Pelasio,1 point
5,4,33%,Pelasio,1 point
6,4,0%,Pelasio,1 point
7,4,0%,Pelasio,1 point
8,4,0%,Pelasio,1 point
1,5,0%,Pelasio,1 point
2,5,0%,Pelasio,1 point
3,5,0%,Pelasio,1 point
4,5,0%,Pelasio,1 point
5,5,0%,Pelasio,1 point
6,5,0%,Pelasio,1 point
7,5,0%,Pelasio,1 point
8,5,0%,Pelasio,1 point
1,1,100%,Salmon,1 point
2,1,0%,Salmon,1 point
3,1,100%,Salmon,1 point
4,1,100%,Salmon,1 point
5,1,100%,Salmon,1 point
6,1,100%,Salmon,1 point
7,1,100%,Salmon,1 point
8,1,83%,Salmon,1 point
1,2,100%,Salmon,1 point
2,2,100%,Salmon,1 point
3,2,100%,Salmon,1 point
4,2,0%,Salmon,1 point
5,2,100%,Salmon,1 point
6,2,100%,Salmon,1 point
7,2,100%,Salmon,1 point
8,2,100%,Salmon,1 point
1,3,0%,Salmon,1 point
